Index,Year,SeedSource,JDay,date(:Date),Hc(K)
2,1976,High,3,1977-01-04,-21.7
3,1976,High,10,1977-01-11,-26.9
11,1977,High,-26,1977-12-06,-23.4
12,1977,High,1,1977-01-01,-27
14,1977,High,24,1978-01-25,-27.9
19,1974,High,-40,1974-11-22,-17
23,1974,High,77,1975-03-19,-16.1
