Index,Year,SeedSource,JDay,date(:Date),Hc(K)
4,1974,Low,20,1975-01-21,-23.5
5,1974,Low,61,1975-03-03,-21.4
10,1976,Low,-86,1976-10-07,-5.7
16,1976,Low,10,1977-01-11,-26.2
18,1976,Low,48,1977-02-18,-23.6
19,1976,Low,61,1977-03-02,-20.2
24,1977,Low,-26,1977-12-06,-24.2
26,1977,Low,8,1978-01-09,-24
28,1977,Low,53,1978-02-21,-21.8
